Date Timed DHT22, Temperature DHT22
2020-08-25 03:08:06,28.1
2020-08-25 02:58:06,28.1
2020-08-25 02:48:06,28.1
2020-08-25 02:38:06,27.7
2020-08-25 02:28:06,27.9
2020-08-25 02:18:06,27.8
2020-08-25 02:08:06,27.6
2020-08-25 02:01:40,28.0
2020-08-25 01:51:40,27.7
2020-08-25 01:41:40,27.9
2020-08-25 01:31:40,28.5
2020-08-25 01:21:40,28.0
2020-08-25 01:11:40,28.3
2020-08-25 01:01:40,28.3
2020-08-25 00:51:40,28.3
2020-08-25 00:41:40,28.5
2020-08-25 00:31:40,28.7
2020-08-25 00:21:40,28.5
2020-08-25 00:11:40,28.8
2020-08-25 00:01:40,30.0
2020-08-24 23:51:40,29.8
2020-08-24 23:41:40,29.9
2020-08-24 23:31:40,29.9
2020-08-24 23:21:40,29.7
2020-08-24 23:11:42,29.6
2020-08-24 23:01:40,29.2
2020-08-24 22:51:42,28.9
2020-08-24 22:41:40,29.1
2020-08-24 22:31:42,29.9
2020-08-24 22:21:43,30.4
2020-08-24 22:11:40,31.9
2020-08-24 22:01:40,30.6
2020-08-24 21:51:40,30.5
2020-08-24 21:44:16,30.4
2020-08-24 21:41:11,30.4
2020-08-24 21:31:11,30.2
2020-08-24 21:21:11,30.3
2020-08-24 21:11:11,30.3
2020-08-24 21:01:11,30.4
2020-08-24 20:51:11,30.6
2020-08-24 20:41:13,30.5
2020-08-24 20:31:11,30.3
2020-08-24 20:29:10,30.3
2020-08-24 20:19:10,30.3
2020-08-24 20:09:11,29.5
2020-08-24 20:01:24,29.2
2020-08-24 19:51:24,28.8
2020-08-24 19:41:38,28.6
2020-08-24 19:31:38,28.8
2020-08-24 19:21:38,29.2
2020-08-24 19:11:38,28.6
2020-08-24 19:01:38,28.2
2020-08-24 18:51:38,27.8
2020-08-24 18:41:38,27.5
2020-08-24 18:31:38,27.7
2020-08-24 18:21:38,27.8
2020-08-24 18:11:38,27.7
2020-08-24 18:01:38,28.2
2020-08-24 17:51:38,28.7
2020-08-24 17:41:38,28.6
2020-08-24 17:31:38,28.8
2020-08-24 17:21:38,28.9
2020-08-24 17:11:38,28.7
2020-08-24 17:02:52,28.6
2020-08-24 16:52:52,27.6
2020-08-24 16:42:52,28.1
2020-08-24 16:32:52,28.4
2020-08-24 16:22:52,28.4
2020-08-24 16:12:52,28.0
2020-08-24 16:02:52,28.8
2020-08-24 15:52:52,29.2
2020-08-24 15:44:53,29.2
2020-08-24 15:34:53,28.4
2020-08-24 15:32:50,28.2
2020-08-24 15:22:50,28.3
2020-08-24 15:12:50,27.9
2020-08-24 15:02:50,27.5
2020-08-24 14:52:50,27.6
2020-08-24 14:42:50,27.4
2020-08-24 14:32:50,27.5
2020-08-24 14:22:50,28.2
2020-08-24 14:12:50,28.7
2020-08-24 14:02:50,28.7
2020-08-24 13:52:50,29.5
2020-08-24 13:42:50,28.5
2020-08-24 13:32:50,28.1
2020-08-24 13:31:03,27.9
2020-08-24 13:27:20,28.4
2020-08-24 13:17:21,29.2
2020-08-24 13:07:20,28.9
2020-08-24 12:57:21,28.5
2020-08-24 12:47:15,28.3
2020-08-24 12:37:15,28.8
2020-08-24 12:27:15,28.9
2020-08-24 12:17:16,29.1
2020-08-24 12:07:15,29.3
2020-08-24 12:05:31,28.9
2020-08-24 11:55:31,29.1
2020-08-24 11:45:31,28.9
2020-08-24 11:35:31,28.8
2020-08-24 11:25:31,29.5
2020-08-24 11:25:02,29.5
2020-08-24 11:15:02,29.5
2020-08-24 11:05:02,28.9
2020-08-24 10:55:02,29.0
2020-08-24 10:45:02,28.9
2020-08-24 10:39:08,29.3
2020-08-24 10:35:59,29.3
2020-08-24 10:32:29,29.5
2020-08-24 10:22:29,29.0
2020-08-24 10:12:28,29.4
2020-08-24 10:02:28,30.8
2020-08-24 09:52:28,30.4
2020-08-24 09:42:22,30.7
2020-08-24 09:34:45,30.0
2020-08-24 09:24:45,30.0
2020-08-24 09:14:45,29.8
2020-08-24 09:08:57,29.9
2020-08-24 08:58:57,30.4
2020-08-24 08:48:58,30.8
2020-08-24 08:38:57,30.8
2020-08-24 08:36:53,30.7
2020-08-24 08:32:30,30.6
2020-08-24 08:22:30,31.0
2020-08-24 08:12:30,31.0
2020-08-24 08:02:30,30.6
2020-08-24 07:52:30,30.4
2020-08-24 07:42:36,30.0
2020-08-24 07:39:13,30.3
2020-08-24 07:29:13,30.5
2020-08-24 07:19:13,30.3
2020-08-24 07:09:16,30.0
2020-08-24 07:08:46,30.0
2020-08-24 06:58:46,29.6
2020-08-24 06:48:46,29.8
2020-08-24 06:46:07,29.8
2020-08-24 06:36:33,29.6
2020-08-24 06:26:07,29.3
2020-08-24 06:20:03,29.3
2020-08-24 06:10:03,29.6
2020-08-24 06:00:04,29.5
2020-08-24 05:53:58,29.5
2020-08-24 05:43:58,29.6
2020-08-24 05:33:58,29.3
2020-08-24 05:23:58,28.5
2020-08-24 05:13:58,28.8
2020-08-24 05:03:58,29.0
2020-08-24 04:53:58,29.5
2020-08-24 04:43:58,29.5
2020-08-24 04:33:58,29.2
2020-08-24 04:23:58,29.1
2020-08-24 04:13:58,29.0
2020-08-24 04:03:58,29.2
2020-08-24 03:53:58,29.2
2020-08-24 03:43:58,28.3
2020-08-24 03:33:58,28.5
2020-08-24 03:23:58,28.8
2020-08-24 03:13:58,28.6
2020-08-24 03:03:58,28.2
2020-08-24 02:53:58,28.5
2020-08-24 02:43:58,29.0
2020-08-24 02:33:58,28.2
2020-08-24 02:23:58,28.7
2020-08-24 02:13:58,28.8
2020-08-24 02:03:58,29.0
2020-08-24 01:53:58,29.2
2020-08-24 01:43:58,29.3
2020-08-24 01:33:58,29.2
2020-08-24 01:32:24,29.1
2020-08-24 01:22:23,28.5
2020-08-24 01:12:23,28.5
2020-08-24 01:02:24,28.9
2020-08-24 00:52:23,29.0
2020-08-24 00:42:23,29.0
2020-08-24 00:32:24,29.1
2020-08-24 00:22:24,28.9
2020-08-24 00:12:24,29.2
2020-08-24 00:02:24,29.1
2020-08-23 23:52:24,28.9
2020-08-23 23:42:24,30.0
2020-08-23 23:32:23,29.9
2020-08-23 23:22:24,29.9
2020-08-23 23:12:26,30.2
2020-08-23 23:02:24,30.2
2020-08-23 22:56:58,30.3
2020-08-23 22:51:14,30.3
2020-08-23 22:45:17,30.1
2020-08-23 22:35:17,29.9
